route_id,route_name
0100000A00,0東 
0100000B00,0南 
400093710,937副 
400093780,937A 
400093800,938
400093900,939
400093910,939副 
463093900,939跳蛙 
400094000,940
400094100,941
400094300,943
400094500,945
400094600,946
400094610,946副 
400094700,947
400094800,948
100094900,949
100095000,950
400095100,951
400095200,952
400095300,953
400095320,953區 
100095500,955
100095700,957
415002700,958
415002800,959
415002900,960
400096300,963
400096500,965(台灣好行-九份金瓜石線) 
400096600,966
400096610,966副 
400096680,966A 
400096700,967
400096710,967副 
400096730,967直 
410098100,981
410098200,982
410098220,982區 
410098230,982直達 
410098240,982直達新埔線 
400098300,983
100171700,1717
0100000B00,0南 
100000100,1
400000800,8
100000900,9
100001200,12
100001400,14
100002000,20
100002100,21
100002200,22
100003300,33
100003900,39
100003940,39夜 
100004100,41
100004900,49
400005100,51
400005700,57
400006200,62
100006300,63
100006600,66
100007200,72
100008800,88
100008820,88區 
400009900,99
100020200,202
100020220,202區 
100020300,203
100020400,204
100020500,205
100020600,206
100020700,207
100020800,208
100020820,208區 
100020830,208直 
100021200,212
100021230,212直 
100021400,214
100021430,214直 
100021500,215
100022400,224
100022600,226
100022700,227
400023100,231
100023400,234
100023500,235
100023620,236區 
400024100,241
400024300,243
400024500,245
100024600,246
100024700,247
100024720,247區 
400024900,249
100025300,253
100026000,260
100026200,262
100026220,262區 
400026400,264
100026700,267
100026800,268
100027000,270
100027020,270區 
400027500,275
100027600,276
100027700,277
100027800,278
100027820,278區 
100028000,280
100028030,280直 
100028100,281
100028200,282
100028400,284
100028720,287區 
100029200,292
100030000,300
400052000,520
100053900,539
100055600,556
100056800,568
400057300,573
400057400,574
400057500,575
400057600,576
454021500,578
454021600,579
454022100,580
454022200,581
454022300,582
400058270,582經洲子洋 
454058290,582經工業區 
454022500,583
454050200,585
454090600,586
454091200,589
454091800,591
100060000,600
100060400,604
100060500,605
100060600,606
100061200,612
100061600,616
400062400,624
400062470,624綠野香坡 
400062900,629
400062920,629區 
100063000,630
400063500,635
400063600,636
400063700,637
400063800,638
400063810,638副 
400063900,639
400064000,640
100064300,643
100064500,645
100064510,645副 
100064800,648
100065100,651
100065200,652
400065600,656
400065700,657
400065770,657延 
400065800,658
100066000,660
100066020,660區 
100066200,662
400066700,667
100066800,668
100067100,671
100067600,676
400067700,677
454091600,677副 
400067800,678
100067900,679
100068000,680
100068100,681
100068200,682
100068500,685
100068800,688
400070100,701
400070200,702
400070400,704
400070420,704區 
400070500,705
400070600,706
400027510,707
100071100,711
400071200,712
400071210,712副 
100075600,756
400076000,760
400077800,778
400077900,779
400078300,783
400078700,787
400078770,787經瑞芳工業區 
400078800,788
461078820,788區 
400078870,788海科館 
400078900,789
400078920,789區 
400079000,790
400079070,790漁港 
400079100,791
400079120,791區 
400079170,791繞貢寮 
400079190,791經貢寮區衛生 
400079300,793
400079570,795往木柵(台灣好行-木柵平溪線) 
400079580,795往平溪(台灣好行-木柵平溪線) 
400079500,795往十分寮(台灣好行-木柵平溪線) 
400079600,796
400079700,797
400079900,799
400080000,800
400080100,801
400080200,802
400080220,802區 
400080300,803
400080500,805
400080600,806
400081000,810
400081100,811
400081200,812
400081300,813
400081320,813區 
400081500,815
400081600,816
400081700,817
400081900,819
400081910,819副 
400082000,820
400082100,821
400082200,822
400082300,823
400082400,824
400082500,825
400082600,826
400082700,827
400083500,835
400083600,836
400083800,838
400084200,842
400084300,843
400084500,845
400084700,847
400084720,847區 
400084900,849
400084970,849屈尺社區 
463085300,853跳蛙 
400085400,854
400085600,856(台灣好行-黃金福隆線) 
400085700,857
400085900,859
400086000,860
400086100,861
400086200,862
400086300,863
400086400,864
400086720,867區 
400086900,869
400087500,875
400087600,876
400087800,878
400087820,878區 
400087900,879
400088000,880
400088100,881
400088200,882
400088300,883
400088500,885
400088620,886區 
400088900,889
400089000,890
400089400,894
400089500,895
400089600,896
400089700,897
400089720,897區 
400089900,899
100090200,902
100090220,902區 
100090500,905
400090600,906
400090900,909
100091200,912
400091300,913
400091800,918
400091820,918區 
400091900,919
400093300,933
400093500,935
400093800,938
100094900,949
100095000,950
100095700,957
415002900,960
400096300,963
410098100,981
410098200,982
410098220,982區 
410098230,982直達 
410098240,982直達新埔線 
400098300,983
410098500,985萬大樹林先導公車 
412000100,藍1 
415000100,橘1 
111000200,紅2 
114000200,棕2 
412000200,藍2 
415000200,橘2 
413000200,綠2右 
413000270,綠2左 
410000200,藍海2線先導公車 
111000320,紅3區 
111000500,紅5 
413000500,綠5 
415000500,橘5 
114000600,棕6 
413000600,綠6 
111000700,紅7 
112000700,藍7 
413000700,綠7 
414000700,棕7 
111000720,紅7區 
112000710,藍7副 
414000790,棕7建業路 
414000770,棕7綠野香坡 
413000800,綠8 
415000900,橘9 
111001000,紅10 
112001000,藍10 
413001000,綠10 
415001000,橘10 
111001020,紅10區 
152003500,通勤11 
111001200,紅12 
152003600,通勤12 
411001300,紅13 
413001300,綠13 
415001300,橘13 
152003700,通勤13 
111001500,紅15 
412001500,藍15 
413001500,綠15 
152003800,通勤16 
412001700,藍17 
415001700,橘17 
412001800,藍18 
152004500,通勤18 
415001900,橘19 
415001910,橘19副 
112002020,藍20區 
412002100,藍21 
152004400,通勤21 
412002110,藍21副 
411002200,紅22 
412002200,藍22 
152004200,通勤22 
411002300,紅23 
412002300,藍23 
152004700,通勤24 
112002500,藍25 
415002500,橘25 
152004900,通勤25 
411002600,紅26 
415002600,橘26 
152005000,通勤26 
411002700,紅27 
152005100,通勤27 
411002800,紅28 
152005200,通勤28 
411002830,紅28直 
111002900,紅29 
152005300,通勤29 
111003100,紅31 
112003600,藍36 
411003600,紅36 
411003700,紅37 
412003700,藍37 
411003790,紅37行經海洋都心社區 
411003800,紅38 
412003800,藍38 
411003900,紅39 
412003900,藍39 
412004100,藍41 
412004170,藍41延和 
412004400,藍44 
412004470,藍44延 
412004500,藍45 
412004600,藍46 
111005000,紅50 
411005100,紅51 
411005300,紅53 
161000600,中山幹線 
161000200,仁愛幹線 
161000100,內湖幹線 
100062000,北環幹線 
161000300,民生幹線 
161001300,民權幹線 
161000700,和平幹線 
161001100,忠孝幹線 
161000900,承德幹線 
113001600,東環幹線 
161000400,松江新生幹線 
161001200,信義幹線 
161001400,南京幹線 
113000100,南環幹線 
161001000,重慶幹線 
161001500,基隆路幹線 
161000800,復興幹線 
161000500,敦化幹線 
463003900,湯泉-大坪林-湯泉 
152005400,雙園巴士 
161001600,羅斯福路幹線 
410098500,985萬大樹林先導公車 
410000200,藍海2線先導公車 
111000200,紅2 
111000300,紅3 
111000320,紅3區 
111000500,紅5 
111000700,紅7 
111000720,紅7區 
111000900,紅9 
111001000,紅10 
111001020,紅10區 
111001200,紅12 
411001300,紅13 
111001500,紅15 
111001900,紅19 
411002200,紅22 
411002300,紅23 
111002500,紅25 
111002520,紅25區 
411002600,紅26 
411002700,紅27 
411002800,紅28 
411002830,紅28直 
111002900,紅29 
111003000,紅30 
111003100,紅31 
111003300,紅33 
111003500,紅35 
111003520,紅35區 
411003600,紅36 
411003700,紅37 
411003790,紅37行經海洋都心社區 
411003800,紅38 
411003900,紅39 
111005000,紅50 
411005100,紅51 
411005300,紅53 
111005500,紅55 
111005520,紅55區 
111005700,紅57 
111006800,紅68 
412000100,藍1 
412000200,藍2 
112000500,藍5 
112000700,藍7 
112000710,藍7副 
112001000,藍10 
412001500,藍15 
412001700,藍17 
412001800,藍18 
112002020,藍20區 
412002100,藍21 
412002110,藍21副 
412002200,藍22 
412002300,藍23 
112002500,藍25 
112002600,藍26 
112002700,藍27 
112002800,藍28 
112002900,藍29 
412003100,藍31 
412003200,藍32 
412003300,藍33 
412003500,藍35 
112003600,藍36 
412003700,藍37 
412003800,藍38 
412003900,藍39 
412004000,藍40 
412004100,藍41 
412004170,藍41延和 
412004300,藍43 
412004370,藍43延南天母 
412004400,藍44 
412004470,藍44延 
412004500,藍45 
412004600,藍46 
112005000,藍50 
112005100,藍51 
413000200,綠2右 
413000270,綠2左 
413000300,綠3 
413000500,綠5 
413000600,綠6 
413000700,綠7 
413000800,綠8 
413000900,綠9 
413000990,綠9耕莘 
413000970,綠9北新國小 
413001000,綠10 
113001100,綠11 
413001200,綠12 
413001300,綠13 
413001500,綠15 
113001700,綠17 
114000100,棕1 
114000200,棕2 
114000300,棕3 
114000500,棕5 
114000600,棕6 
414000700,棕7 
414000790,棕7建業路 
414000770,棕7綠野香坡 
114001000,棕10 
114001100,棕11 
114001110,棕11副 
114001200,棕12 
114001300,棕13 
114001500,棕15 
114001800,棕18 
114001900,棕19 
114002000,棕20 
114002100,棕21 
114002200,棕22 
415000100,橘1 
415000200,橘2 
415000300,橘3 
415000500,橘5 
415000900,橘9 
415001000,橘10 
415001200,橘12 
415001300,橘13 
415001700,橘17 
415001800,橘18 
415001870,橘18福隆路 
415001900,橘19 
415001910,橘19副 
415002000,橘20 
415002100,橘21 
415002200,橘22 
415002500,橘25 
415002600,橘26 
421000100,安坑1線 
421000200,安坑2線 
421000300,安坑3線 
421000500,安坑5線 
421000600,安坑6線 
151000100,小1 
151000120,小1區 
